analysis,domain,group,label_head,label_level,label,PR,lower,upper
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Period,Period (baseline: Before 2022-01-01),Period (baseline: Before 2022-01-01),,,,
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Period,Period (baseline: Before 2022-01-01),After vs Before 2022-01-01,After vs Before 2022-01-02,1.87,1.44,2.43
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Gender (baseline: Man),Gender (baseline: Man),,,,
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Gender (baseline: Man),Woman vs Man,Woman vs Man,1.48,0.97,2.25
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Education (baseline: Up to high school graduation),Education (baseline: Up to high school graduation),,,,
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Education (baseline: Up to high school graduation),College degree or trades certificate vs Up to high school graduation,College degree or trades certificate vs Up to high school graduation,1,0.7,1.41
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Education (baseline: Up to high school graduation),University bachelor's degree vs Up to high school graduation,University bachelor's degree vs Up to high school graduation,1.15,0.83,1.61
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Education (baseline: Up to high school graduation),Graduate or professional degree vs Up to high school graduation,Graduate or professional degree vs Up to high school graduation,0.92,0.62,1.37
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Race (baseline: White),Race (baseline: White),,,,
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Race (baseline: White),Black vs White,Black vs White,1.78,1.28,2.48
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Race (baseline: White),East or Southeast Asian vs White,East or Southeast Asian vs White,1.55,1.18,2.04
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Socio-demographic characteristics,Race (baseline: White),Other racialized vs White,Other racialized vs White,1.42,1.03,1.96
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Household characteristics,"Household income (baseline: $0-$59,999)","Household income (baseline: $0-$59,999)",,,,
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Household characteristics,"Household income (baseline: $0-$59,999)","$60,000-$89,999 vs $0-$59,999","$60,000-$89,999 vs $0-$59,999",1.03,0.72,1.5
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Household characteristics,"Household income (baseline: $0-$59,999)","$90,000 or more vs $0-$59,999","$90,000 or more vs $0-$59,999",1.1,0.81,1.5
Prevalence ratio/prevalence odds ratio,Age adjusted PR,Household characteristics,Number of people in household (baseline: 1),Number of people in household (baseline: 1),,,,
